n,n.communities,p,community.var,or,r,alpha,n.sim,n.per.community,prop.drivers,or.margin.of.error
700,25,0.5,2.73,1,0.25,0.00555555555555556,250,28,0.01422,0.59641
1100,25,0.5,2.73,1,0.25,0.00555555555555556,250,44,0.01644,0.53448
1400,25,0.5,2.73,1,0.25,0.00555555555555556,250,56,0.01244,0.51555
1800,25,0.5,2.73,1,0.25,0.00555555555555556,250,72,0.01156,0.49456
2100,25,0.5,2.73,1,0.25,0.00555555555555556,250,84,0.01156,0.49311
700,50,0.5,2.73,1,0.25,0.00555555555555556,250,14,0.00578,0.46846
1100,50,0.5,2.73,1,0.25,0.00555555555555556,250,22,0.00756,0.40865
1400,50,0.5,2.73,1,0.25,0.00555555555555556,250,28,0.00711,0.39214
1800,50,0.5,2.73,1,0.25,0.00555555555555556,250,36,0.00933,0.37174
2100,50,0.5,2.73,1,0.25,0.00555555555555556,250,42,0.00711,0.35367
700,100,0.5,2.73,1,0.25,0.00555555555555556,250,7,0.00444,0.38268
1100,100,0.5,2.73,1,0.25,0.00555555555555556,250,11,0.00444,0.33104
1400,100,0.5,2.73,1,0.25,0.00555555555555556,250,14,0.00889,0.30758
1800,100,0.5,2.73,1,0.25,0.00555555555555556,250,18,0.008,0.29018
2100,100,0.5,2.73,1,0.25,0.00555555555555556,250,21,0.00578,0.27496
700,25,0.5,2.73,1.25,0.25,0.00555555555555556,250,28,0.13867,0.59573
1100,25,0.5,2.73,1.25,0.25,0.00555555555555556,250,44,0.23333,0.54842
1400,25,0.5,2.73,1.25,0.25,0.00555555555555556,250,56,0.29867,0.5258
1800,25,0.5,2.73,1.25,0.25,0.00555555555555556,250,72,0.36267,0.50308
2100,25,0.5,2.73,1.25,0.25,0.00555555555555556,250,84,0.39111,0.49631
700,50,0.5,2.73,1.25,0.25,0.00555555555555556,250,14,0.13111,0.47159
1100,50,0.5,2.73,1.25,0.25,0.00555555555555556,250,22,0.21022,0.42593
1400,50,0.5,2.73,1.25,0.25,0.00555555555555556,250,28,0.28222,0.39357
1800,50,0.5,2.73,1.25,0.25,0.00555555555555556,250,36,0.35778,0.37387
2100,50,0.5,2.73,1.25,0.25,0.00555555555555556,250,42,0.39822,0.35866
700,100,0.5,2.73,1.25,0.25,0.00555555555555556,250,7,0.14178,0.39952
1100,100,0.5,2.73,1.25,0.25,0.00555555555555556,250,11,0.22267,0.33886
1400,100,0.5,2.73,1.25,0.25,0.00555555555555556,250,14,0.29511,0.31282
1800,100,0.5,2.73,1.25,0.25,0.00555555555555556,250,18,0.36311,0.29484
2100,100,0.5,2.73,1.25,0.25,0.00555555555555556,250,21,0.40578,0.28281
700,25,0.5,2.73,1.5,0.25,0.00555555555555556,250,28,0.40178,0.63028
1100,25,0.5,2.73,1.5,0.25,0.00555555555555556,250,44,0.48222,0.57721
1400,25,0.5,2.73,1.5,0.25,0.00555555555555556,250,56,0.512,0.53496
1800,25,0.5,2.73,1.5,0.25,0.00555555555555556,250,72,0.52444,0.51414
2100,25,0.5,2.73,1.5,0.25,0.00555555555555556,250,84,0.54311,0.49512
700,50,0.5,2.73,1.5,0.25,0.00555555555555556,250,14,0.40889,0.49611
1100,50,0.5,2.73,1.5,0.25,0.00555555555555556,250,22,0.49333,0.43687
1400,50,0.5,2.73,1.5,0.25,0.00555555555555556,250,28,0.53022,0.41446
1800,50,0.5,2.73,1.5,0.25,0.00555555555555556,250,36,0.53956,0.38334
2100,50,0.5,2.73,1.5,0.25,0.00555555555555556,250,42,0.56444,0.37475
700,100,0.5,2.73,1.5,0.25,0.00555555555555556,250,7,0.43511,0.41915
1100,100,0.5,2.73,1.5,0.25,0.00555555555555556,250,11,0.55956,0.35351
1400,100,0.5,2.73,1.5,0.25,0.00555555555555556,250,14,0.588,0.32782
1800,100,0.5,2.73,1.5,0.25,0.00555555555555556,250,18,0.61511,0.30655
2100,100,0.5,2.73,1.5,0.25,0.00555555555555556,250,21,0.60844,0.2924
700,25,0.5,2.73,1.75,0.25,0.00555555555555556,250,28,0.52933,0.65322
1100,25,0.5,2.73,1.75,0.25,0.00555555555555556,250,44,0.56711,0.5806
1400,25,0.5,2.73,1.75,0.25,0.00555555555555556,250,56,0.57911,0.54799
1800,25,0.5,2.73,1.75,0.25,0.00555555555555556,250,72,0.59067,0.53535
2100,25,0.5,2.73,1.75,0.25,0.00555555555555556,250,84,0.604,0.50844
700,50,0.5,2.73,1.75,0.25,0.00555555555555556,250,14,0.56044,0.52882
1100,50,0.5,2.73,1.75,0.25,0.00555555555555556,250,22,0.59822,0.45439
1400,50,0.5,2.73,1.75,0.25,0.00555555555555556,250,28,0.62578,0.42333
1800,50,0.5,2.73,1.75,0.25,0.00555555555555556,250,36,0.63778,0.40072
